LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
LMSP02010071	Cer(d14:1(4E)/22:1(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780123	70698958	KIHOZIDRMOZXBQ-KQXGYKHSSA-N					
LMSP02010072	Cer(d14:1(4E)/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	609.56961	C38H75NO4	160780124	70698959	RTZYKIQPLIVLQW-KJIJJSKISA-N					
LMSP02010073	Cer(d14:1(4E)/26:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	637.60091	C40H79NO4	160780125	70698960	NUSGPJPVMMKEST-DAEKEIETSA-N					
LMSP02010033	Cer(d14:1/16:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	481.449495	C30H59NO3	160780085	70698926	OCXQIBPNDRJADM-VARSQMIESA-N					
LMSP02010034	Cer(d14:1/18:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	509.480795	C32H63NO3	160780086	21629598	NCKNBDIYAHEWMH-JHRQRACZSA-N					
LMSP02010035	Cer(d14:1/18:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	507.465145	C32H61NO3	160780087	70698927	JJDNNDHNNIWYHJ-IHMINBDXSA-N					
LMSP02010036	Cer(d14:1/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	537.512095	C34H67NO3	160780088	11092732	DLTXHYMYPKOZOA-TURZORIXSA-N					
LMSP02010037	Cer(d14:1/20:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780089	70698928	DKQPXKGVDIXPMN-ISNALYLISA-N					
LMSP02010038	Cer(d14:1/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.543395	C36H71NO3	160780090	70698929	ZEQGGWNOJHBYRD-NXCSZAMKSA-N					
LMSP02010039	Cer(d14:1/22:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780091	70698930	MGQBWVJCEDJUHQ-NAAOEUOBSA-N					
LMSP02010040	Cer(d14:1/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.574695	C38H75NO3	160780092	70698931	UVBMEPQTWFQHAF-NUKVNZTCSA-N					
LMSP02010041	Cer(d14:1/24:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780093	70698932	MSCLJUVEGRKQEP-HJOGSYLWSA-N					
LMSP02010042	Cer(d14:1/26:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	621.605995	C40H79NO3	160780094	70698933	ASKHOXZWEDLQAR-GLQCRSEXSA-N					
LMSP02010051	Cer(d14:2(4E,6E)/16:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	479.433845	C30H57NO3	160780103	70698940	SUFXADQEIOCBSI-FPLHUCQRSA-N					
LMSP02010074	Cer(d14:2(4E,6E)/18:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.46006	C32H61NO4	160780126	70698961	BQZFEDVPVKCKOH-HAVXCLIQSA-N					
LMSP02010052	Cer(d14:2(4E,6E)/18:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	507.465145	C32H61NO3	160780104	70698941	ATMGSBIBHRODFH-TYYRSTBESA-N					
LMSP02010075	Cer(d14:2(4E,6E)/18:1(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	521.44441	C32H59NO4	160780127	70698962	NHHBVFLFFZXGOQ-BMXYDZIQSA-N					
LMSP02010053	Cer(d14:2(4E,6E)/18:1(9Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	505.449495	C32H59NO3	160780105	70698942	CGTRJQCZAJENJT-LPDDRZGOSA-N					
LMSP02010076	Cer(d14:2(4E,6E)/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780128	70698963	NATVYXMEXLMFRF-MGCCHZMNSA-N					
LMSP02010054	Cer(d14:2(4E,6E)/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780106	10369909	YQZINSNQYJSGEU-AMOCAPSMSA-N					
LMSP02010077	Cer(d14:2(4E,6E)/20:1(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.47571	C34H63NO4	160780129	70698964	IWEBGSCUIOVUAN-XDWZGQLBSA-N					
LMSP02010055	Cer(d14:2(4E,6E)/20:1(11Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	533.480795	C34H63NO3	160780107	70698943	DWGHLOWUDPMQBC-LKUGJLQVSA-N					
LMSP02010078	Cer(d14:2(4E,6E)/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780130	70698965	VKKRBIYUZFVZET-ZRTLKSGISA-N			46968		
LMSP02010056	Cer(d14:2(4E,6E)/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780108	10482997	KKPFDXYNZHDJIR-PEJBPPBMSA-N					
LMSP02010079	Cer(d14:2(4E,6E)/22:1(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.50701	C36H67NO4	160780131	70698966	ZXQRJRUZQFLTJC-FTXQQGTRSA-N					
LMSP02010057	Cer(d14:2(4E,6E)/22:1(13Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	561.512095	C36H67NO3	160780109	70698944	NXCBSNLBFXYUMZ-OTACEGJJSA-N					
LMSP02010080	Cer(d14:2(4E,6E)/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.55396	C38H73NO4	160780132	70698967	SSDSMOIKLQQPKT-YDFYCNJISA-N					
LMSP02010058	Cer(d14:2(4E,6E)/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780110	70698945	AYJQOWRZYITIAX-BYRMTNRESA-N					
LMSP02010059	Cer(d14:2(4E,6E)/24:1(15Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	589.543395	C38H71NO3	160780111	70698946	AKLVDJCXPLKDKV-SDICZUETSA-N					
LMSP02010043	Cer(d15:1/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.527745	C35H69NO3	160780095	70698934	SLZWCRVFSKONQF-QKSCFGQVSA-N					
LMSP02010044	Cer(d15:1/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.559045	C37H73NO3	160780096	70698935	ZZNBYSFYKZPNOI-RQDJVNCUSA-N					
LMSP02010045	Cer(d15:1/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.590345	C39H77NO3	160780097	70698936	JJKDXNZRDLNBGR-PQPBPFPMSA-N					
LMSP02010081	Cer(d15:2(4E,6E)/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.50701	C35H67NO4	160780133	70698968	KFKYRFWJZNSCGH-FGLDYOEPSA-N					
LMSP02010060	Cer(d15:2(4E,6E)/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.512095	C35H67NO3	160780112	70698947	BPAMQEHLKCMFHK-QYQZFFDRSA-N					
LMSP02010082	Cer(d15:2(4E,6E)/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.53831	C37H71NO4	160780134	70698969	AGDAOYNFNBDNFU-DMICEGFCSA-N	C00195	HMDB04947			
LMSP02010061	Cer(d15:2(4E,6E)/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.543395	C37H71NO3	160780113	70698948	DJVWDCOKAJCRDK-BLRRJSBFSA-N		HMDB11773			
LMSP02010083	Cer(d16:1(4E)/18:1(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780135	70698970	GNFOXIXRXZHXLF-GSKQVQRJSA-N		HMDB04947			
LMSP02010084	Cer(d16:1(4E)/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	581.53831	C36H71NO4	160780136	70698971	ROZJTQYOTSOLJY-LVTSMTQESA-N		HMDB04948			
LMSP02010085	Cer(d16:1(4E)/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	609.56961	C38H75NO4	160780137	70698972	OMSQMUIAKAQHPV-KJIJJSKISA-N		HMDB04949			
LMSP02010086	Cer(d16:1(4E)/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	637.60091	C40H79NO4	160780138	70698973	FLPBJVOYHZWCLM-DAEKEIETSA-N		HMDB04950			
LMSP02010015	Cer(d16:1/17:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.496445	C33H65NO3	123068724	52931112	QBFXCLDNTKBAPQ-STSAHMJASA-N		HMDB04951			
LMSP02010046	Cer(d16:1/18:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	537.512095	C34H67NO3	160780098	10582678	UQKAUNJILIUTGT-TURZORIXSA-N		HMDB04952			
LMSP02010047	Cer(d16:1/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.543395	C36H71NO3	160780099	70698937	GOOUFNPMMZFHJF-NXCSZAMKSA-N		HMDB04953			
LMSP02010048	Cer(d16:1/20:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780100	70698938	KJWGMPZYFNAPCL-NRHMQPLPSA-N		HMDB04954			
LMSP02010016	Cer(d16:1/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.574695	C38H75NO3	123068725	10627306	RIGQYOKCOHPLTC-NUKVNZTCSA-N		HMDB04955			
LMSP02010049	Cer(d16:1/22:1)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780101	70698939	OLHOHHPLWXMRDX-VHQHEBMYSA-N		HMDB04956			
LMSP02010017	Cer(d16:1/23:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.590345	C39H77NO3	123068726	11273482	WYSRACVJQVNCRW-PQPBPFPMSA-N		HMDB04957			
LMSP02010050	Cer(d16:1/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	621.605995	C40H79NO3	160780102	10627700	UVOIUTYXLKCPEC-GLQCRSEXSA-N			46979		
LMSP02010087	Cer(d16:2(4E,6E)/18:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780139	70698974	FMZBUOHTJHSVRB-MGCCHZMNSA-N					
LMSP02010062	Cer(d16:2(4E,6E)/18:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780114	70698949	AZCSUBJJLAWSPY-AMOCAPSMSA-N					
LMSP02010088	Cer(d16:2(4E,6E)/18:1(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.47571	C34H63NO4	160780140	70698975	BKBFJMDDLDZGGL-MUNZBCBCSA-N					
LMSP02010089	Cer(d16:2(4E,6E)/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780141	70698976	IDLWNUIXXRAQSD-ZRTLKSGISA-N					
LMSP02010063	Cer(d16:2(4E,6E)/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780115	70698950	CDTYDKBHVRLHEC-PEJBPPBMSA-N					
LMSP02010090	Cer(d16:2(4E,6E)/20:1(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.50701	C36H67NO4	160780142	70698977	ACFAOLREKKEIMM-YWLIIHBISA-N					
LMSP02010064	Cer(d16:2(4E,6E)/20:1(11Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	561.512095	C36H67NO3	160780116	70698951	NNNKISMVKZXEBG-DKIXJUGNSA-N					
LMSP02010091	Cer(d16:2(4E,6E)/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.55396	C38H73NO4	160780143	70698978	MOAHTBDMWZSOJN-YDFYCNJISA-N					
LMSP02010065	Cer(d16:2(4E,6E)/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780117	70698952	ACBUYGKJJNWGGS-BYRMTNRESA-N					
LMSP02010092	Cer(d16:2(4E,6E)/22:1(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	605.53831	C38H71NO4	160780144	70698979	NABQFRSEPFCNMQ-YETABHKWSA-N					
LMSP02010066	Cer(d16:2(4E,6E)/22:1(13Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	589.543395	C38H71NO3	160780118	70698953	BQTUMEAJCMNNFL-MHMYMLLCSA-N					
LMSP02010093	Cer(d16:2(4E,6E)/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	635.58526	C40H77NO4	160780145	70698980	WMQHIWCKBUPFCV-HTRCKHQSSA-N					
LMSP02010067	Cer(d16:2(4E,6E)/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	619.590345	C40H77NO3	160780119	70698954	ZYACUODQFDXZJK-WCQDKGKNSA-N					
LMSP02020020	Cer(d18:0/13:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	497.480795	C31H63NO3	160780148	52931113	BORMXTJNNOUFST-XZWHSSHBSA-N					
LMSP02020016	Cer(d18:0/14:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	511.496445	C32H65NO3	74382716	10255824	UDTSZXVRDXQARY-IOWSJCHKSA-N					
LMSP02020021	Cer(d18:0/15:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	525.512095	C33H67NO3	160780149	52931114	IZHDCKVGRKOGIB-AJQTZOPKSA-N					
LMSP02020029	Cer(d18:0/16:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	555.52266	C34H69NO4	160780157	9959390	NQXMVCBJWMTLGK-XIWRNSNHSA-N					
LMSP02020001	Cer(d18:0/16:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	539.527745	C34H69NO3	7850631	5283572	GCGTXOVNNFGTPQ-JHOUSYSJSA-N					
LMSP02020022	Cer(d18:0/17:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	553.543395	C35H71NO3	160780150	52931125	QZDZZVCCCYWHDN-SZAHLOSFSA-N					
LMSP02020030	Cer(d18:0/18:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	583.55396	C36H73NO4	160780158	70678799	TWVUZTCVZAHCIE-GWDKEWMYSA-N					
LMSP02020008	Cer(d18:0/18:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	567.559045	C36H73NO3	7850632	5283573	KZTJQXAANJHSCE-OIDHKYIRSA-N					
LMSP02020015	Cer(d18:0/18:1(9Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	565.543395	C36H71NO3	49703627	6442676	MJQIARGPQMNBGT-WWUCIAQXSA-N					
LMSP02020031	Cer(d18:0/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	611.58526	C38H77NO4	160780159	56985034	QZPHNIHBKGRHTP-IFXQGTRDSA-N					
LMSP02020009	Cer(d18:0/20:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	595.590345	C38H77NO3	7850633	5283574	ZWAUSWHRQBSECP-PQQNNWGCSA-N					
LMSP02020032	Cer(d18:0/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	639.61656	C40H81NO4	160780160	70678851	NNLQQNODNROHPW-BFNXHEPRSA-N					
LMSP02020010	Cer(d18:0/22:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	623.621645	C40H81NO3	7850634	5283575	SXPRAKSDHOEHIG-ZESVVUHVSA-N					
LMSP02020033	Cer(d18:0/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	667.64786	C42H85NO4	160780161	53262287	DGORBCXEWSENPF-MOKHYRRWSA-N					
LMSP02020012	Cer(d18:0/24:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	651.652945	C42H85NO3	7850636	5283577	BPLYVSYSBPLDOA-WVILEFPPSA-N					
LMSP02020011	Cer(d18:0/24:1(15Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	649.637295	C42H83NO3	7850635	5283576	YUULKFVZRXQHPM-ATHUGRIKSA-N					
LMSP02020034	Cer(d18:0/26:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	695.67916	C44H89NO4	160780162	53262288	BAZWIFLKHLJIPY-WJYGDXIFSA-N					
LMSP02020014	Cer(d18:0/26:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	679.684245	C44H89NO3	7850638	644245	NWERZHCPHDHUMO-WZYYJWNZSA-N					
LMSP02020013	Cer(d18:0/26:1(17Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	677.668595	C44H87NO3	7850637	5283578	CTSPXOBSUIWAAB-SNMLQRCYSA-N					
LMSP02020019	Cer(d18:0/h17:0)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	569.53831	C35H71NO4	123068742	22974265	SKUYODQAHZTUFS-LBFZIJHGSA-N					
