LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
LMSP06020004	(3'-sulfo)Galbeta-Cer(d18:0/18:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	823.547953	C42H81NO12S	49703641	24779580	QAXLTFVHNINRAJ-MDNLEJKJSA-N					
LMSP06020005	(3'-sulfo)Galbeta-Cer(d18:0/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	851.579253	C44H85NO12S	49703642	24779581	BSPHGAPKLMNQGB-PIWARLTLSA-N					
LMSP06020011	(3'-sulfo)Galbeta-Cer(d18:0/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	879.610553	C46H89NO12S	49703645	24779584	SONRUZAYRBQUDC-HOFFQUQKSA-N	C00319	HMDB00252	16393		
LMSP06020014	(3'-sulfo)Galbeta-Cer(d18:0/24:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	907.641853	C48H93NO12S	49703647	24779586	QTTLKKFUOJQIRB-KVVYEFBTSA-N					
LMSP06020016	(3'-sulfo)Galbeta-Cer(d18:0/24:1(15Z)(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	905.626203	C48H91NO12S	49703649	24779588	YKQKWZCXBGRDPT-CSTHVWECSA-N	C00836	HMDB00269	16566		
LMSP06020003	(3'-sulfo)Galbeta-Cer(d18:1/16:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	795.516653	C40H77NO12S	49703640	24779579	RJBWNINOBUDIFT-XTEWRJPMSA-N	C02934	HMDB01480	17862		
	(3'-sulfo)Galbeta-Cer(d18:1/25:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	(3'-sulfo)Galbeta-Cer(d18:1/26:0(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	(3'-sulfo)Galbeta-Cer(d18:1/26:1(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	C12 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	C14 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
LMSP06020002	C16 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	779.521738	C40H77NO11S	49703639	24779578	CJGVDSGIQZDLDO-BMYWYRRPSA-N					
	C17 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
LMSP06020001	C18 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	807.553038	C42H81NO11S	4266360	5771775	GQQZXRPXBDJABR-XMDONHODSA-N					
LMSP06020010	C20 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	835.584338	C44H85NO11S	49703644	24779583	AURCBSWGPREGRQ-VGNRXBDKSA-N			38221		
LMSP06020009	C22 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	863.615638	C46H89NO11S	49703643	24779582	UAKYQMHTPLVMJD-GJOJTGTQSA-N			38225		
LMSP06020013	C24 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	891.646938	C48H93NO11S	49703646	24779585	MEAZTWJVOWHKJM-YQTIZROBSA-N					
LMSP06020015	C24:1 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	889.631288	C48H91NO11S	49703648	24779587	ZZQWQNAZXFNSEP-YEWIENRVSA-N					
	C25:0 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	C26:0 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
	C26:1 Sulfatide	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]										
LMSP02010094	Cer(d14:1(4E)/18:1(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.46006	C32H61NO4	160780146	70698981	ZFZFWMBMZIIVIX-ZJXSLYTJSA-N					
LMSP02010068	Cer(d14:1(4E)/20:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	553.50701	C34H67NO4	160780120	70698955	GWKJUPMRJNTJBT-HOXYDHSRSA-N					
LMSP02010069	Cer(d14:1(4E)/20:1(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780121	70698956	NUSSYYOOAQDOJF-YECFGNMQSA-N					
LMSP02010070	Cer(d14:1(4E)/22:0(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	581.53831	C36H71NO4	160780122	70698957	YJJWDRMSMWBUDF-LVTSMTQESA-N					
