LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
XXX_LMSP06020004	(3'-sulfo)Galbeta-Cer(d18:7/18:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	823.547953	C42H81NO12S	49703641	24779580	QAXLTFVHNINRAJ-MDNLEJKJSA-N						
XXX_LMSP06020005	(3'-sulfo)Galbeta-Cer(d18:7/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	851.579253	C44H85NO12S	49703642	24779581	BSPHGAPKLMNQGB-PIWARLTLSA-N						
XXX_LMSP06020011	(3'-sulfo)Galbeta-Cer(d18:7/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	879.610553	C46H89NO12S	49703645	24779584	SONRUZAYRBQUDC-HOFFQUQKSA-N	C00319	HMDB00252	16393			
XXX_LMSP06020014	(3'-sulfo)Galbeta-Cer(d18:7/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	907.641853	C48H93NO12S	49703647	24779586	QTTLKKFUOJQIRB-KVVYEFBTSA-N						
XXX_LMSP06020016	(3'-sulfo)Galbeta-Cer(d18:7/24:8(15Z)(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	905.626203	C48H91NO12S	49703649	24779588	YKQKWZCXBGRDPT-CSTHVWECSA-N	C00836	HMDB00269	16566			
XXX_LMSP06020003	(3'-sulfo)Galbeta-Cer(d18:8/16:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	795.516653	C40H77NO12S	49703640	24779579	RJBWNINOBUDIFT-XTEWRJPMSA-N	C02934	HMDB01480	17862			
XXX_1	(3'-sulfo)Galbeta-Cer(d18:8/25:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_2	(3'-sulfo)Galbeta-Cer(d18:8/26:7(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_3	(3'-sulfo)Galbeta-Cer(d18:8/26:8(2OH))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_4	(3'-sulfo)Gal?-Cer(d18:8/12:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_5	(3'-sulfo)Gal?-Cer(d18:8/14:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_LMSP06020002	(3'-sulfo)Gal?-Cer(d18:8/16:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	779.521738	C40H77NO11S	49703639	24779578	CJGVDSGIQZDLDO-BMYWYRRPSA-N						
XXX_6	(3'-sulfo)Gal?-Cer(d18:8/17:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_LMSP06020001	 (3'-sulfo)Gal?-Cer(d18:8/18:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	807.553038	C42H81NO11S	4266360	5771775	GQQZXRPXBDJABR-XMDONHODSA-N						
XXX_LMSP06020010	(3'-sulfo)Gal?-Cer(d18:8/20:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	835.584338	C44H85NO11S	49703644	24779583	AURCBSWGPREGRQ-VGNRXBDKSA-N			38221			
XXX_LMSP06020009	(3'-sulfo)Gal?-Cer(d18:8/22:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	863.615638	C46H89NO11S	49703643	24779582	UAKYQMHTPLVMJD-GJOJTGTQSA-N			38225			
XXX_LMSP06020013	(3'-sulfo)Gal?-Cer(d18:8/24:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	891.646938	C48H93NO11S	49703646	24779585	MEAZTWJVOWHKJM-YQTIZROBSA-N						
XXX_LMSP06020015	(3'-sulfo)Gal?-Cer(d18:8/24:8(15Z))	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]	889.631288	C48H91NO11S	49703648	24779587	ZZQWQNAZXFNSEP-YEWIENRVSA-N						
XXX_7	(3'-sulfo)Gal?-Cer(d18:8/25:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_8	(3'-sulfo)Gal?-Cer(d18:8/26:7)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_9	(3'-sulfo)Gal?-Cer(d18:8/26:8)	[M-H]-	Sphingolipids [SP]	Acidic glycosphingolipids [SP06]	Sulfoglycosphingolipids (sulfatides) [SP0602]											
XXX_LMSP02010094	Cer(d14:8(4E)/18:8(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.46006	C32H61NO4	160780146	70698981	ZFZFWMBMZIIVIX-ZJXSLYTJSA-N						
XXX_LMSP02010068	Cer(d14:8(4E)/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	553.50701	C34H67NO4	160780120	70698955	GWKJUPMRJNTJBT-HOXYDHSRSA-N						
XXX_LMSP02010069	Cer(d14:8(4E)/20:8(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780121	70698956	NUSSYYOOAQDOJF-YECFGNMQSA-N						
XXX_LMSP02010070	Cer(d14:8(4E)/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	581.53831	C36H71NO4	160780122	70698957	YJJWDRMSMWBUDF-LVTSMTQESA-N						
XXX_LMSP02010071	Cer(d14:8(4E)/22:8(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780123	70698958	KIHOZIDRMOZXBQ-KQXGYKHSSA-N						
XXX_LMSP02010072	Cer(d14:8(4E)/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	609.56961	C38H75NO4	160780124	70698959	RTZYKIQPLIVLQW-KJIJJSKISA-N						
XXX_LMSP02010073	Cer(d14:8(4E)/26:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	637.60091	C40H79NO4	160780125	70698960	NUSGPJPVMMKEST-DAEKEIETSA-N						
XXX_LMSP02010033	Cer(d14:8/16:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	481.449495	C30H59NO3	160780085	70698926	OCXQIBPNDRJADM-VARSQMIESA-N						
XXX_LMSP02010034	Cer(d14:8/18:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	509.480795	C32H63NO3	160780086	21629598	NCKNBDIYAHEWMH-JHRQRACZSA-N						
XXX_LMSP02010035	Cer(d14:8/18:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	507.465145	C32H61NO3	160780087	70698927	JJDNNDHNNIWYHJ-IHMINBDXSA-N						
XXX_LMSP02010036	Cer(d14:8/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	537.512095	C34H67NO3	160780088	11092732	DLTXHYMYPKOZOA-TURZORIXSA-N						
XXX_LMSP02010037	Cer(d14:8/20:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780089	70698928	DKQPXKGVDIXPMN-ISNALYLISA-N						
XXX_LMSP02010038	Cer(d14:8/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.543395	C36H71NO3	160780090	70698929	ZEQGGWNOJHBYRD-NXCSZAMKSA-N						
XXX_LMSP02010039	Cer(d14:8/22:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780091	70698930	MGQBWVJCEDJUHQ-NAAOEUOBSA-N						
XXX_LMSP02010040	Cer(d14:8/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.574695	C38H75NO3	160780092	70698931	UVBMEPQTWFQHAF-NUKVNZTCSA-N						
XXX_LMSP02010041	Cer(d14:8/24:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780093	70698932	MSCLJUVEGRKQEP-HJOGSYLWSA-N						
XXX_LMSP02010042	Cer(d14:8/26:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	621.605995	C40H79NO3	160780094	70698933	ASKHOXZWEDLQAR-GLQCRSEXSA-N						
XXX_LMSP02010051	Cer(d14:9(4E,6E)/16:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	479.433845	C30H57NO3	160780103	70698940	SUFXADQEIOCBSI-FPLHUCQRSA-N						
XXX_LMSP02010074	Cer(d14:9(4E,6E)/18:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.46006	C32H61NO4	160780126	70698961	BQZFEDVPVKCKOH-HAVXCLIQSA-N						
XXX_LMSP02010052	Cer(d14:9(4E,6E)/18:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	507.465145	C32H61NO3	160780104	70698941	ATMGSBIBHRODFH-TYYRSTBESA-N						
XXX_LMSP02010075	Cer(d14:9(4E,6E)/18:8(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	521.44441	C32H59NO4	160780127	70698962	NHHBVFLFFZXGOQ-BMXYDZIQSA-N						
XXX_LMSP02010053	Cer(d14:9(4E,6E)/18:8(9Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	505.449495	C32H59NO3	160780105	70698942	CGTRJQCZAJENJT-LPDDRZGOSA-N						
XXX_LMSP02010076	Cer(d14:9(4E,6E)/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780128	70698963	NATVYXMEXLMFRF-MGCCHZMNSA-N						
XXX_LMSP02010054	Cer(d14:9(4E,6E)/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780106	10369909	YQZINSNQYJSGEU-AMOCAPSMSA-N						
XXX_LMSP02010077	Cer(d14:9(4E,6E)/20:8(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.47571	C34H63NO4	160780129	70698964	IWEBGSCUIOVUAN-XDWZGQLBSA-N						
XXX_LMSP02010055	Cer(d14:9(4E,6E)/20:8(11Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	533.480795	C34H63NO3	160780107	70698943	DWGHLOWUDPMQBC-LKUGJLQVSA-N						
XXX_LMSP02010078	Cer(d14:9(4E,6E)/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780130	70698965	VKKRBIYUZFVZET-ZRTLKSGISA-N			46968			
XXX_LMSP02010056	Cer(d14:9(4E,6E)/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780108	10482997	KKPFDXYNZHDJIR-PEJBPPBMSA-N						
XXX_LMSP02010079	Cer(d14:9(4E,6E)/22:8(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.50701	C36H67NO4	160780131	70698966	ZXQRJRUZQFLTJC-FTXQQGTRSA-N						
XXX_LMSP02010057	Cer(d14:9(4E,6E)/22:8(13Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	561.512095	C36H67NO3	160780109	70698944	NXCBSNLBFXYUMZ-OTACEGJJSA-N						
XXX_LMSP02010080	Cer(d14:9(4E,6E)/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.55396	C38H73NO4	160780132	70698967	SSDSMOIKLQQPKT-YDFYCNJISA-N						
XXX_LMSP02010058	Cer(d14:9(4E,6E)/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780110	70698945	AYJQOWRZYITIAX-BYRMTNRESA-N						
XXX_LMSP02010059	Cer(d14:9(4E,6E)/24:8(15Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	589.543395	C38H71NO3	160780111	70698946	AKLVDJCXPLKDKV-SDICZUETSA-N						
XXX_LMSP02010043	Cer(d15:8/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.527745	C35H69NO3	160780095	70698934	SLZWCRVFSKONQF-QKSCFGQVSA-N						
XXX_LMSP02010044	Cer(d15:8/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.559045	C37H73NO3	160780096	70698935	ZZNBYSFYKZPNOI-RQDJVNCUSA-N						
XXX_LMSP02010045	Cer(d15:8/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.590345	C39H77NO3	160780097	70698936	JJKDXNZRDLNBGR-PQPBPFPMSA-N						
XXX_LMSP02010081	Cer(d15:9(4E,6E)/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.50701	C35H67NO4	160780133	70698968	KFKYRFWJZNSCGH-FGLDYOEPSA-N						
XXX_LMSP02010060	Cer(d15:9(4E,6E)/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.512095	C35H67NO3	160780112	70698947	BPAMQEHLKCMFHK-QYQZFFDRSA-N						
XXX_LMSP02010082	Cer(d15:9(4E,6E)/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.53831	C37H71NO4	160780134	70698969	AGDAOYNFNBDNFU-DMICEGFCSA-N	C00195	HMDB04947				
XXX_LMSP02010061	Cer(d15:9(4E,6E)/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.543395	C37H71NO3	160780113	70698948	DJVWDCOKAJCRDK-BLRRJSBFSA-N		HMDB11773				
XXX_LMSP02010083	Cer(d16:8(4E)/18:8(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780135	70698970	GNFOXIXRXZHXLF-GSKQVQRJSA-N		HMDB04947				
XXX_LMSP02010084	Cer(d16:8(4E)/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	581.53831	C36H71NO4	160780136	70698971	ROZJTQYOTSOLJY-LVTSMTQESA-N		HMDB04948				
