LM_ID	COMMON_NAME	Adduct	CATEGORY	MAIN_CLASS	SUB_CLASS	EXACT_MASS	FORMULA	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID
XXX_LMSP02010085	Cer(d16:8(4E)/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	609.56961	C38H75NO4	160780137	70698972	OMSQMUIAKAQHPV-KJIJJSKISA-N		HMDB04949				
XXX_LMSP02010086	Cer(d16:8(4E)/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	637.60091	C40H79NO4	160780138	70698973	FLPBJVOYHZWCLM-DAEKEIETSA-N		HMDB04950				
XXX_LMSP02010015	Cer(d16:8/17:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	523.496445	C33H65NO3	123068724	52931112	QBFXCLDNTKBAPQ-STSAHMJASA-N		HMDB04951				
XXX_LMSP02010046	Cer(d16:8/18:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	537.512095	C34H67NO3	160780098	10582678	UQKAUNJILIUTGT-TURZORIXSA-N		HMDB04952				
XXX_LMSP02010047	Cer(d16:8/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	565.543395	C36H71NO3	160780099	70698937	GOOUFNPMMZFHJF-NXCSZAMKSA-N		HMDB04953				
XXX_LMSP02010048	Cer(d16:8/20:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780100	70698938	KJWGMPZYFNAPCL-NRHMQPLPSA-N		HMDB04954				
XXX_LMSP02010016	Cer(d16:8/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	593.574695	C38H75NO3	123068725	10627306	RIGQYOKCOHPLTC-NUKVNZTCSA-N		HMDB04955				
XXX_LMSP02010049	Cer(d16:8/22:8)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780101	70698939	OLHOHHPLWXMRDX-VHQHEBMYSA-N		HMDB04956				
XXX_LMSP02010017	Cer(d16:8/23:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.590345	C39H77NO3	123068726	11273482	WYSRACVJQVNCRW-PQPBPFPMSA-N		HMDB04957				
XXX_LMSP02010050	Cer(d16:8/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	621.605995	C40H79NO3	160780102	10627700	UVOIUTYXLKCPEC-GLQCRSEXSA-N			46979			
XXX_LMSP02010087	Cer(d16:9(4E,6E)/18:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	551.49136	C34H65NO4	160780139	70698974	FMZBUOHTJHSVRB-MGCCHZMNSA-N						
XXX_LMSP02010062	Cer(d16:9(4E,6E)/18:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	535.496445	C34H65NO3	160780114	70698949	AZCSUBJJLAWSPY-AMOCAPSMSA-N						
XXX_LMSP02010088	Cer(d16:9(4E,6E)/18:8(9Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	549.47571	C34H63NO4	160780140	70698975	BKBFJMDDLDZGGL-MUNZBCBCSA-N						
XXX_LMSP02010089	Cer(d16:9(4E,6E)/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	579.52266	C36H69NO4	160780141	70698976	IDLWNUIXXRAQSD-ZRTLKSGISA-N						
XXX_LMSP02010063	Cer(d16:9(4E,6E)/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	563.527745	C36H69NO3	160780115	70698950	CDTYDKBHVRLHEC-PEJBPPBMSA-N						
XXX_LMSP02010090	Cer(d16:9(4E,6E)/20:8(11Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	577.50701	C36H67NO4	160780142	70698977	ACFAOLREKKEIMM-YWLIIHBISA-N						
XXX_LMSP02010064	Cer(d16:9(4E,6E)/20:8(11Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	561.512095	C36H67NO3	160780116	70698951	NNNKISMVKZXEBG-DKIXJUGNSA-N						
XXX_LMSP02010091	Cer(d16:9(4E,6E)/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	607.55396	C38H73NO4	160780143	70698978	MOAHTBDMWZSOJN-YDFYCNJISA-N						
XXX_LMSP02010065	Cer(d16:9(4E,6E)/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	591.559045	C38H73NO3	160780117	70698952	ACBUYGKJJNWGGS-BYRMTNRESA-N						
XXX_LMSP02010092	Cer(d16:9(4E,6E)/22:8(13Z)(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	605.53831	C38H71NO4	160780144	70698979	NABQFRSEPFCNMQ-YETABHKWSA-N						
XXX_LMSP02010066	Cer(d16:9(4E,6E)/22:8(13Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	589.543395	C38H71NO3	160780118	70698953	BQTUMEAJCMNNFL-MHMYMLLCSA-N						
XXX_LMSP02010093	Cer(d16:9(4E,6E)/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	635.58526	C40H77NO4	160780145	70698980	WMQHIWCKBUPFCV-HTRCKHQSSA-N						
XXX_LMSP02010067	Cer(d16:9(4E,6E)/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	619.590345	C40H77NO3	160780119	70698954	ZYACUODQFDXZJK-WCQDKGKNSA-N						
XXX_LMSP02020020	Cer(d18:7/13:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	497.480795	C31H63NO3	160780148	52931113	BORMXTJNNOUFST-XZWHSSHBSA-N						
XXX_LMSP02020016	Cer(d18:7/14:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	511.496445	C32H65NO3	74382716	10255824	UDTSZXVRDXQARY-IOWSJCHKSA-N						
XXX_LMSP02020021	Cer(d18:7/15:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	525.512095	C33H67NO3	160780149	52931114	IZHDCKVGRKOGIB-AJQTZOPKSA-N						
XXX_LMSP02020029	Cer(d18:7/16:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	555.52266	C34H69NO4	160780157	9959390	NQXMVCBJWMTLGK-XIWRNSNHSA-N						
XXX_LMSP02020001	Cer(d18:7/16:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	539.527745	C34H69NO3	7850631	5283572	GCGTXOVNNFGTPQ-JHOUSYSJSA-N						
XXX_LMSP02020022	Cer(d18:7/17:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphingosines (ceramides) [SP0201]	553.543395	C35H71NO3	160780150	52931125	QZDZZVCCCYWHDN-SZAHLOSFSA-N						
XXX_LMSP02020030	Cer(d18:7/18:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	583.55396	C36H73NO4	160780158	70678799	TWVUZTCVZAHCIE-GWDKEWMYSA-N						
XXX_LMSP02020008	Cer(d18:7/18:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	567.559045	C36H73NO3	7850632	5283573	KZTJQXAANJHSCE-OIDHKYIRSA-N						
XXX_LMSP02020015	Cer(d18:7/18:8(9Z))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	565.543395	C36H71NO3	49703627	6442676	MJQIARGPQMNBGT-WWUCIAQXSA-N						
XXX_LMSP02020031	Cer(d18:7/20:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	611.58526	C38H77NO4	160780159	56985034	QZPHNIHBKGRHTP-IFXQGTRDSA-N						
XXX_LMSP02020009	Cer(d18:7/20:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	595.590345	C38H77NO3	7850633	5283574	ZWAUSWHRQBSECP-PQQNNWGCSA-N						
XXX_LMSP02020032	Cer(d18:7/22:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	639.61656	C40H81NO4	160780160	70678851	NNLQQNODNROHPW-BFNXHEPRSA-N						
XXX_LMSP02020010	Cer(d18:7/22:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	623.621645	C40H81NO3	7850634	5283575	SXPRAKSDHOEHIG-ZESVVUHVSA-N						
XXX_LMSP02020033	Cer(d18:7/24:7(2OH))	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	667.64786	C42H85NO4	160780161	53262287	DGORBCXEWSENPF-MOKHYRRWSA-N						
XXX_LMSP02020012	Cer(d18:7/24:7)	[M-H]-	Sphingolipids [SP]	Ceramides [SP02]	N-acylsphinganines (dihydroceramides) [SP0202]	651.652945	C42H85NO3	7850636	5283577	BPLYVSYSBPLDOA-WVILEFPPSA-N						
